,,,,,,,,,,,,,,,,,,,,,,,,
,השקעות,סכום,תאריך,הערות,עדכון,תאריך,עדכון,תאריך,עדכון,תאריך,עדכון,תאריך,עדכון,תאריך,עדכון,תאריך,עדכון,תאריך,עדכון,תאריך,עדכון,תאריך,עדכון,תאריך
,ארהב,"$35,000",4.12.17,,,,,,,,,,,,,,,,,,,,,
,ארהב 3,"$5,000",1.11.20,,,,,,,,,,,,,,,,,,,,,
,ארהב 2,"$12,000",21.2.19,,,,,,,,,,,8.1.22,,15.4.23,,28.4.24,,13.7.24,,22.12.24,,10.3.25
,בלנדר,"₪30,000",23.10.18,,"₪30,741.00",28.3.19,"₪31,613.00",27.8.19,"₪28,805.00",12.3.20,"₪1,015.00",3.11.20,₪0.00,8.1.22,₪0.00,15.4.23,,28.4.24,,13.7.24,,22.12.24,,10.3.25
,פיפלביז- קניבל 1,"₪5,157",1.1.19,750 מניות,,,,,,,,,,,,15.4.23,,28.4.24,,13.7.24,,22.12.24,,10.3.25
,פיפלביז- ברייטקוד,"₪5,416",13.3.19,100 מניות,,,,,,,,,,,,15.4.23,,28.4.24,,13.7.24,,22.12.24,,10.3.25
,פיפלביז- קניבל 2,"₪20,625",15.3.19,3000 מניות 15000 של אבא,,,,,,,,,,,,15.4.23,,28.4.24,,13.7.24,,22.12.24,,10.3.25
,פייפל (ארהב)/wise,"₪1,843",27.8.19,,,,,,"$3,066.00",12.3.20,"$1,600.00",3.11.20,"$4,691.00",8.1.22,"₪28,660.00",15.4.23,"₪37,320",28.4.24,"₪14,982",13.7.24,"₪29,517",22.12.24,"₪8,470.28",10.3.25
,השתלמות מנהל,"₪30,133",31.8.12,,"₪30,859.00",16.5.19,"₪31,118.00",27.8.19,"₪31,953.00",12.3.20,"₪32,979.00",3.11.20,"₪38,085.00",8.1.22,"₪34,880.95",15.4.23,"₪38,900",28.4.24,"₪39,694",13.7.24,"₪41,558",22.12.24,"₪42,248.63",10.3.25
,השתלמות אלטש,"₪37,823",1.7.17,,"₪39,400.00",16.5.19,"₪39,940.00",27.8.19,"₪40,234.00",12.3.20,"₪40,909.00",3.11.20,"₪52,719.00",8.1.22,"₪42,398.00",15.4.23,"₪51,914",28.4.24,"₪53,611",13.7.24,"₪57,634",22.12.24,"₪57,153.00",10.3.25
